(1373)Cincinnati
0.001186 10000 100 100
3.41598 0.314819 0.679777 1.71602 5.19092 
3.41585 0.314861 0.679795 1.71613 5.19089 
3.41573 0.314899 0.679814 1.71625 5.19087 
3.41561 0.314933 0.679833 1.71637 5.19085 
3.4155 0.314963 0.679853 1.71648 5.19084 
3.41539 0.31499 0.679873 1.7166 5.19082 
3.41528 0.315014 0.679892 1.71672 5.19081 
3.41518 0.315034 0.679911 1.71683 5.19081 
3.41509 0.31505 0.679927 1.71694 5.19081 
3.415 0.315064 0.679941 1.71704 5.19081 
3.41493 0.315076 0.679953 1.71714 5.19081 
3.41488 0.315087 0.679962 1.71722 5.19082 
3.41485 0.315099 0.679967 1.7173 5.19082 
3.41486 0.315114 0.67997 1.71736 5.19083 
3.41492 0.315135 0.679969 1.71741 5.19083 
3.41504 0.315165 0.679967 1.71745 5.19082 
3.41524 0.315208 0.679965 1.7175 5.1908 
3.41552 0.315266 0.679965 1.71755 5.19077 
3.41588 0.315337 0.679972 1.71761 5.19073 
3.41628 0.315418 0.679989 1.71769 5.19068 
3.41667 0.315499 0.680022 1.71774 5.19062 
3.41695 0.315572 0.680072 1.71774 5.19056 
3.41704 0.315626 0.680136 1.71761 5.19051 
3.41688 0.315661 0.680209 1.71731 5.19048 
3.41649 0.31568 0.68028 1.71685 5.19047 
3.41591 0.315694 0.680341 1.71626 5.19047 
3.41524 0.315708 0.680389 1.71561 5.19049 
3.41455 0.315726 0.680423 1.71496 5.19051 
3.4139 0.315749 0.680444 1.71434 5.19052 
3.4133 0.315776 0.680455 1.71378 5.19053 
3.41277 0.315805 0.68046 1.71329 5.19054 
3.41232 0.315834 0.68046 1.71287 5.19054 
3.41194 0.315862 0.680458 1.71251 5.19054 
3.41161 0.315887 0.680455 1.71221 5.19053 
3.41134 0.315909 0.680451 1.71195 5.19052 
3.41112 0.315928 0.680448 1.71172 5.19051 
3.41094 0.315943 0.680445 1.71153 5.1905 
3.4108 0.315955 0.680442 1.71136 5.19049 
3.41068 0.315964 0.680441 1.71121 5.19048 
3.41059 0.315971 0.68044 1.71107 5.19047 
3.41053 0.315976 0.680439 1.71094 5.19046 
3.41048 0.315979 0.680439 1.71081 5.19046 
3.41045 0.315981 0.680439 1.7107 5.19045 
3.41043 0.315982 0.680439 1.71058 5.19045 
3.41043 0.315983 0.680439 1.71047 5.19045 
3.41044 0.315984 0.680439 1.71036 5.19045 
3.41045 0.315987 0.680439 1.71025 5.19045 
3.41048 0.31599 0.680438 1.71014 5.19045 
3.41051 0.315994 0.680437 1.71003 5.19046 
3.41054 0.316 0.680436 1.70992 5.19046 
3.41059 0.316008 0.680435 1.70982 5.19046 
3.41064 0.316018 0.680433 1.70972 5.19047 
3.41069 0.31603 0.680431 1.70962 5.19047 
3.41074 0.316043 0.680429 1.70953 5.19048 
3.4108 0.316059 0.680427 1.70944 5.19048 
3.41087 0.316077 0.680425 1.70936 5.19048 
3.41093 0.316096 0.680423 1.70929 5.19048 
3.411 0.316116 0.68042 1.70922 5.19049 
3.41107 0.316138 0.680418 1.70916 5.19049 
3.41115 0.31616 0.680415 1.70911 5.19049 
3.41123 0.316182 0.680412 1.70906 5.19049 
3.41131 0.316205 0.680408 1.70902 5.19049 
3.4114 0.316228 0.680404 1.70898 5.19049 
3.4115 0.316251 0.680398 1.70894 5.19049 
3.41161 0.316274 0.680393 1.70891 5.19048 
3.41173 0.316298 0.680387 1.70887 5.19048 
3.41186 0.316324 0.680381 1.70884 5.19047 
3.41201 0.316351 0.680376 1.7088 5.19046 
3.41216 0.31638 0.680373 1.70877 5.19045 
3.41232 0.31641 0.68037 1.70875 5.19044 
3.41247 0.31644 0.68037 1.70873 5.19042 
3.41261 0.316469 0.680372 1.70872 5.19041 
3.41273 0.316495 0.680376 1.70871 5.1904 
3.41283 0.316519 0.680382 1.70869 5.19038 
3.4129 0.316539 0.68039 1.70867 5.19037 
3.41295 0.316558 0.680398 1.70863 5.19037 
3.41296 0.316575 0.680406 1.70858 5.19036 
3.41296 0.316591 0.680414 1.70852 5.19036 
3.41292 0.316609 0.680422 1.70845 5.19036 
3.41287 0.316628 0.680429 1.70836 5.19037 
3.4128 0.31665 0.680434 1.70826 5.19037 
3.41272 0.316675 0.680439 1.70816 5.19037 
3.41262 0.316704 0.680441 1.70805 5.19037 
3.41252 0.316737 0.680443 1.70794 5.19038 
3.4124 0.316773 0.680443 1.70783 5.19038 
3.41227 0.316813 0.680442 1.70772 5.19037 
3.41214 0.316857 0.680439 1.70762 5.19037 
3.41201 0.316904 0.680436 1.70754 5.19036 
3.41187 0.316955 0.680432 1.70746 5.19035 
3.41172 0.317008 0.680428 1.70739 5.19033 
3.41158 0.317063 0.680423 1.70734 5.19031 
3.41143 0.317119 0.680419 1.7073 5.19029 
3.41128 0.317177 0.680415 1.70728 5.19026 
3.41113 0.317236 0.680413 1.70728 5.19023 
3.41098 0.317295 0.680411 1.70729 5.1902 
3.41084 0.317353 0.680411 1.70732 5.19016 
3.41069 0.317411 0.680413 1.70736 5.19012 
3.41054 0.317467 0.680416 1.70742 5.19007 
3.4104 0.317521 0.680422 1.70749 5.19002 
3.41026 0.317573 0.680429 1.70758 5.18998 
3.41012 0.317622 0.68044 1.70768 5.18993 
3.40998 0.317669 0.680452 1.70779 5.18988 
3.40985 0.317712 0.680467 1.70791 5.18983 
3.40971 0.317752 0.680484 1.70804 5.18978 
3.40958 0.317788 0.680503 1.70818 5.18974 
3.40944 0.31782 0.680523 1.70832 5.1897 
3.40931 0.317849 0.680546 1.70847 5.18966 
3.40917 0.317873 0.68057 1.70861 5.18962 
3.40903 0.317894 0.680594 1.70876 5.18959 
3.40889 0.31791 0.680619 1.70892 5.18956 
3.40874 0.317923 0.680644 1.70907 5.18954 
3.40859 0.317932 0.680669 1.70922 5.18952 
3.40844 0.317937 0.680693 1.70937 5.18951 
3.40828 0.317937 0.680715 1.70951 5.1895 
3.40811 0.317934 0.680736 1.70965 5.1895 
3.40794 0.317927 0.680755 1.70979 5.1895 
3.40777 0.317917 0.68077 1.70993 5.18951 
3.4076 0.317903 0.680783 1.71005 5.18951 
3.40743 0.317888 0.680793 1.71017 5.18952 
3.40728 0.317871 0.6808 1.71028 5.18953 
3.40715 0.317857 0.680804 1.71037 5.18954 
3.40707 0.317849 0.680806 1.71045 5.18954 
3.40706 0.317852 0.680806 1.71052 5.18954 
3.40714 0.317871 0.680806 1.71058 5.18954 
3.40735 0.317912 0.680808 1.71066 5.18953 
3.40771 0.317981 0.680812 1.71076 5.18952 
3.40823 0.318079 0.68082 1.71091 5.1895 
3.40891 0.318207 0.680835 1.7111 5.18948 
3.40968 0.318361 0.680854 1.7113 5.18947 
3.41044 0.318533 0.680875 1.71146 5.18946 
3.41105 0.318715 0.68089 1.71149 5.18945 
3.41134 0.318895 0.680889 1.71129 5.18945 
3.41124 0.319067 0.680867 1.71085 5.18945 
3.41081 0.319228 0.680824 1.71022 5.18943 
3.41015 0.319376 0.680768 1.7095 5.18939 
3.4094 0.319512 0.680706 1.70879 5.18933 
3.40866 0.319636 0.680644 1.70813 5.18925 
3.40796 0.319749 0.680588 1.70755 5.18917 
3.40734 0.319851 0.680538 1.70705 5.18909 
3.4068 0.319942 0.680496 1.70664 5.189 
3.40633 0.320025 0.680461 1.70629 5.18891 
3.40592 0.320098 0.680432 1.70599 5.18883 
3.40557 0.320164 0.680409 1.70574 5.18875 
3.40527 0.320224 0.680392 1.70553 5.18867 
3.40501 0.320279 0.680378 1.70535 5.1886 
3.40479 0.320329 0.680369 1.70519 5.18853 
3.4046 0.320376 0.680363 1.70505 5.18846 
3.40444 0.320419 0.68036 1.70492 5.1884 
3.4043 0.320461 0.68036 1.70481 5.18834 
3.40418 0.320502 0.680362 1.7047 5.18829 
3.40407 0.320542 0.680366 1.70461 5.18823 
3.40398 0.320581 0.680372 1.70452 5.18818 
3.4039 0.320621 0.68038 1.70445 5.18813 
3.40383 0.320662 0.680389 1.70438 5.18809 
3.40377 0.320703 0.680401 1.70432 5.18804 
3.40371 0.320746 0.680415 1.70428 5.18799 
3.40366 0.320791 0.680431 1.70424 5.18795 
3.40361 0.320836 0.680449 1.70422 5.18791 
3.40357 0.320884 0.680469 1.70421 5.18786 
3.40352 0.320932 0.680491 1.70421 5.18782 
3.40347 0.32098 0.680516 1.70424 5.18779 
3.40342 0.321029 0.680542 1.70427 5.18775 
3.40336 0.321077 0.680569 1.70433 5.18772 
3.4033 0.321124 0.680597 1.7044 5.1877 
3.40323 0.321167 0.680625 1.70449 5.18768 
3.40316 0.321207 0.680651 1.70459 5.18767 
3.40308 0.321242 0.680675 1.7047 5.18766 
3.403 0.321272 0.680694 1.70481 5.18765 
3.40293 0.321296 0.68071 1.70492 5.18765 
3.40288 0.321316 0.680721 1.70501 5.18766 
3.40285 0.321334 0.680728 1.70509 5.18766 
3.40285 0.32135 0.680731 1.70515 5.18766 
3.40289 0.321368 0.680731 1.70519 5.18766 
3.40297 0.32139 0.68073 1.70521 5.18766 
3.40309 0.321417 0.680728 1.70522 5.18766 
3.40325 0.321449 0.680727 1.70522 5.18765 
3.40343 0.321485 0.680727 1.70522 5.18764 
3.40362 0.321524 0.680728 1.70523 5.18764 
3.40382 0.321563 0.68073 1.70524 5.18763 
3.404 0.321601 0.680733 1.70525 5.18762 
3.40416 0.321636 0.680736 1.70526 5.18762 
3.40429 0.321668 0.680739 1.70527 5.18762 
3.4044 0.321698 0.680741 1.70527 5.18762 
3.40448 0.321726 0.680742 1.70526 5.18762 
3.40454 0.321753 0.680742 1.70525 5.18762 
3.40457 0.32178 0.68074 1.70522 5.18762 
3.40458 0.321809 0.680737 1.70519 5.18761 
