Jupiter
0.001186 10000 100 100
5.20272 0.0480326 0.0228 4.80317 1.7523 
5.20269 0.0479815 0.0228 4.80396 1.7523 
5.20266 0.0479282 0.0228 4.80467 1.7523 
5.20264 0.0478731 0.0228 4.80531 1.7523 
5.20261 0.0478165 0.0228 4.80587 1.7523 
5.20258 0.0477586 0.0228 4.80635 1.7523 
5.20255 0.0476996 0.0228 4.80674 1.7523 
5.20252 0.0476399 0.0228 4.80706 1.7523 
5.20249 0.0475798 0.0228 4.8073 1.7523 
5.20246 0.0475194 0.0228 4.80745 1.7523 
5.20243 0.047459 0.0228 4.80752 1.7523 
5.2024 0.0473989 0.0228 4.80751 1.7523 
5.20237 0.0473393 0.0228 4.80742 1.7523 
5.20234 0.0472804 0.0228 4.80726 1.7523 
5.20231 0.0472224 0.0228 4.80702 1.7523 
5.20228 0.0471656 0.0228 4.8067 1.7523 
5.20226 0.0471102 0.0228 4.80631 1.7523 
5.20223 0.0470562 0.0228 4.80585 1.7523 
5.20221 0.047004 0.0228 4.80533 1.7523 
5.20218 0.0469536 0.0228 4.80474 1.7523 
5.20216 0.0469052 0.0228 4.80409 1.7523 
5.20213 0.046859 0.0228 4.80338 1.7523 
5.20211 0.0468151 0.0228 4.80262 1.7523 
5.20209 0.0467735 0.0228 4.80181 1.7523 
5.20207 0.0467345 0.0228 4.80094 1.7523 
5.20206 0.0466981 0.0228 4.80003 1.7523 
5.20204 0.0466644 0.0228 4.79908 1.7523 
5.20202 0.0466335 0.0228 4.79809 1.7523 
5.20201 0.0466055 0.0228 4.79706 1.7523 
5.202 0.0465804 0.0228 4.79601 1.7523 
5.20199 0.0465583 0.0228 4.79492 1.7523 
5.20198 0.0465392 0.0228 4.79381 1.7523 
5.20197 0.0465233 0.0228 4.79268 1.7523 
5.20196 0.0465104 0.0228 4.79154 1.7523 
5.20196 0.0465007 0.0228 4.79038 1.7523 
5.20196 0.0464942 0.0228 4.78921 1.7523 
5.20196 0.0464909 0.0228 4.78804 1.7523 
5.20196 0.0464908 0.0228 4.78686 1.7523 
5.20196 0.0464938 0.0228 4.78568 1.7523 
5.20196 0.0465001 0.0228 4.78452 1.7523 
5.20196 0.0465095 0.0228 4.78336 1.7523 
5.20197 0.0465221 0.0228 4.78221 1.7523 
5.20198 0.0465378 0.0228 4.78108 1.7523 
5.20199 0.0465566 0.0228 4.77997 1.7523 
5.202 0.0465785 0.0228 4.77888 1.7523 
5.20201 0.0466033 0.0228 4.77782 1.7523 
5.20202 0.0466311 0.0228 4.77679 1.7523 
5.20204 0.0466618 0.0228 4.7758 1.7523 
5.20205 0.0466953 0.0228 4.77484 1.7523 
5.20207 0.0467315 0.0228 4.77393 1.7523 
5.20209 0.0467703 0.0228 4.77306 1.7523 
5.20211 0.0468116 0.0228 4.77224 1.7523 
5.20213 0.0468554 0.0228 4.77148 1.7523 
5.20216 0.0469014 0.0228 4.77076 1.7523 
5.20218 0.0469496 0.0228 4.77011 1.7523 
5.2022 0.0469999 0.0228 4.76951 1.7523 
5.20223 0.047052 0.0228 4.76899 1.7523 
5.20226 0.0471058 0.0228 4.76852 1.7523 
5.20228 0.0471611 0.0228 4.76813 1.7523 
5.20231 0.0472178 0.0228 4.76781 1.7523 
5.20234 0.0472757 0.0228 4.76756 1.7523 
5.20237 0.0473345 0.0228 4.76739 1.7523 
5.2024 0.047394 0.0228 4.76729 1.7523 
5.20243 0.0474541 0.0228 4.76728 1.7523 
5.20246 0.0475145 0.0228 4.76734 1.7523 
5.20249 0.0475749 0.0228 4.76749 1.7523 
5.20252 0.0476351 0.0228 4.76772 1.7523 
5.20255 0.0476948 0.0228 4.76803 1.7523 
5.20258 0.0477539 0.0228 4.76842 1.7523 
5.2026 0.0478119 0.0228 4.76889 1.7523 
5.20263 0.0478686 0.0228 4.76944 1.7523 
5.20266 0.0479238 0.0228 4.77007 1.7523 
5.20269 0.0479772 0.0228 4.77078 1.7523 
5.20271 0.0480286 0.0228 4.77157 1.7523 
5.20274 0.0480775 0.0228 4.77242 1.7523 
5.20276 0.0481239 0.0228 4.77334 1.7523 
5.20278 0.0481674 0.0228 4.77433 1.7523 
5.2028 0.0482077 0.0228 4.77539 1.7523 
5.20282 0.0482448 0.0228 4.77649 1.7523 
5.20284 0.0482783 0.0228 4.77765 1.7523 
5.20285 0.048308 0.0228 4.77886 1.7523 
5.20287 0.0483339 0.0228 4.78011 1.7523 
5.20288 0.0483556 0.0228 4.78139 1.7523 
5.20289 0.0483731 0.0228 4.78271 1.7523 
5.20289 0.0483863 0.0228 4.78404 1.7523 
5.2029 0.0483952 0.0228 4.78539 1.7523 
5.2029 0.0483995 0.0228 4.78676 1.7523 
5.2029 0.0483994 0.0228 4.78811 1.7523 
